id,question,answer1,answer2,answer3,answer4,correct_answer,figure,paragraph,subject
137,"De los siguientes acontecimientos, ¿cuáles hacen referencia al gobierno de Adolfo López Mateos?","I, III y VI","II, III y IV","II, IV y V","IV, V y VI",1,8,,9
138,Fenómeno de gran auge económico que vivió México de 1952 a 1970,Nacionalismo económico,Desarrollo estabilizador,Reconstrución Nacional,Nacionalismo revolucionario,2,,,9
139,"De los siguientes acontecimientos, clasifica los que correspondan al gobierno de Gustavo Díaz Ordaz (I) y los que correspondan al gobierno de Luis Echeverría (II) ","I: c, d, e - II: a, b, f","I: a, c, e - II: a, c, e","I: b, d, d - II: a, c, e","I: d, e, f - II: a, b, c",2,9,,9
140,¿Cuáles eras las clases sociales en la Nueva España?,"Burgueses, proletariado y clero ","Patricios, plebeyos, y esclavos","Protestantes, católicos y puritanos","Peninsulares, criollos y mestizos",4,,,9
141,Una consecuencia económica de las Reformas Borbónicas a la Nueva España fue:,"Facilitar el comercio entre España y la Nueva España para lograr una mayor recaudación de la Corona española, quitándole privilegios a las autoridades locales
",Acrecentar el poder político local y disminuir la explotación mineral ,Dar mayor autonomía a las colonias españolas y facilitar el comercio con Inglaterra,,1,,,9
142,Causas internas de la Independencia,Pago justo de impuestos por parte de los peninsulares,Restricción de la participación política de los criollos ,Consolidación de poder político de los indígenas,Declaración de los Derechos del Hombre,2,,,9
143,"En los primeros años del México independiente, ¿qué grupos influyeron en el gobierno del país?",Ayuntamientos ,Logias masónicas,Sociedades mutualistas,Partidos políticos,3,,,9
144,"Territorios que fueron cedidos por Méxio tras la guerra contra Estados Unidos:
","Baja California, Texas y La Mesilla","Nuevo México, La Mesilla y Alta California","Texas, Nuevo México y Arizona","Nuevo México, Alta California y Arizona ",4,,,9
145,"El 1º de Marzo de 1854 fue promulgado el Plan de Ayutla, el cual tuvo como objetivo:",Dar fin a la Intervención Francesa,Apoyar el intervencionismo estadounidense,Derrocar al gobierno de Santa Ana,"Detener el expansionismo estadounidense
",3,,,9
146,Una de las razones por las cuales se debilitó el Imperio de Maximiliano fue:,Napoleón II retiró a su ejercito para conquistar a España,Descontento de los conservadores por el establecimeinto de medidas liberales,Perdida de apoyo del emperador Austrohúngaro,Establecimiento de medidas contra los indígenas,2,,,9
147,Algunos objetivos del gobierno liberal en México fueron:,El establecimiento del Registro Civil y Estado laico ,El mantenimiento de fueros eclesiásticos y militares,El combate al intervencionismo norteamericano y apoyo a las potencias europeas,La creación de cooperativas autónomas y reparto agrario ,1,,,9
148,El periodo conocido como Maximato en que el poder se ejercia tras la presidencia fue dirigido por:,Lázaro Cárdenas,Álvaro Obregón ,Emilio Portes Gil,Plutarco Elías Calles,4,,,9
149,Algunas características del gobierno de Lázaro Cárdenas fueron:,"I, IV, V","V, III, I","I, IV, II","III, IV, V",1,18,,9
150,El pacto migratorio firmado en 1941 entre EU y México tenía por objetivo:,Evitar la emigración ilegal,Apoyar la mano de obra barata a la industria norteamericana,Combatir el comercio informal de armas,Contribuir con soldados mexicanos a los Aliados,2,"
",,9
151,Algunos acontecimientos pertenecientes al gobierno de Adolfo López Mateos son:,"II, III, IV","I, III, VI","V, III, IV","I, III, V",2,19,,9
152,Características del gobierno de Gustavo Díaz Ordaz,"I, II, III","I, II, V","I, II, IV","III, IV, V",3,20,,9
153,Un crecimiento económico sostenido de más de 7% anual y la construcción de infraestructura y la sustitución de importaciones fueron hechos que se conocieron como :,Unidad nacional ,Plan Sexenal,Desarrollo estabilizador,Presidencialismo ,3,,,9
154,Son características del gobierno de José López Portillo,"Rompimiento de relaciones con la URSS y creación del CONACyT
",Devaluación del peso y firma del TLC,Nacionalización de la banca y el establecimiento del IVA,Guerra Sucia y Tratados de Tlatelolco,3,,,9
155,Presidente con el que comenzo el neoliberalismo:,Carlos Salinas de Gortari,Miguel de la Madrid,José López Portillo,Gustavo Díaz Ordaz,2,,,9
156,¿Con qué presidente se intensificó el neoliberalismo en México?,Carlos Salinas de Gortari,Miguel de la Madrid,José López Portillo,Gustavo Díaz Ordaz,1,,,9
157,"¿Qué función de la lenguna predomina en la siguiente proposición? 
 ",Metalingüística,Apelativa,Referencial,Sintomática,3,,1,7
158,Identifica el enunciado en el que se usa la función poética de la lengua,Sentir que es un soplo la vida,Fue caminando sobre la colina,El niño era muy pobre,Algunas vecesse sentía triste,1,,,7
159,Selecciona el fragmento en que predomina la naracción:,"el perico australiano tiene un plumaje, entre otros colores, azul, negro, blanco y, a veces, gris. su cara es chatita, y su pico, como la cáscara de un cacahuate","¡No te quedes atrás! ¡Tenemos la mejor tecnología en celulares!
","Un canario amarillo y un perico azul contemplaban la libertad a través de una reja dorada. Todos los días, se mecían con falsa tranquilidad en el columpio de plástico colocado al centro de la prisión. Por las mañanas cantaban, por las tardes comían y por las noches dormían con esperanza de libertad.",Las aves son animales inteligentes. Protegen a sus hijos con verdadera dedicación y pueden crear fuertes lazos afectivos con humanos. ,3,,,7
160,¿Qué modo discursivo predomina en el siguiente ejemplo? ,Enumeración,Descripción ,Argumentación,Narración,3,,2,7
161,¿Cuál  es el núcleo del predicado de la siguiente oración? ,bullying,Las campañas contra el bullying,permitirán,crear,3,,3,7
162,El enunciado escrito entre guiones largos también puede escribirse entre... ,comillas,paréntesis,puntos y comas,guiones cortos,2,,4,7
163,"De los siguientes párrafos, ¿cuál tiene mejor redacción?",Nadie sabe quién defendió ese argumento tan tonto que sin embargo fue tomado como cierto,"Nadie sabe quién defendió ese argumento tanto que, sin embargo, fue tomado como cierto",Nadie sabe quién defendió ese argumento tan tonto que mas sin embargo fue tomado como cierto ,"Pero, sin embargo, nadie sabe quién defendió ese argumento tan tonto  que fue tomado como cierto",2,,,7
164,Selecciona el enunciado que tiene ortografía correcta,Hubo muchas desavenensias cuando se pretendió integrar a os advenedisos al Club de Leones,Hubo muchas dezavenencias cuando se pretendió integrar a los advenedizos al Club de los Leones,"Hubo muchas desavenenzias cuando se pretendió integrar a los advenedizos al Club de Leones
",Hubo muchas desavenencias cuando se pretendió integrar a los advenedizos al Club de Leones,4,,,7
165,¿A qué grupo de palabras pertenece la siguiente definición? ,Agudas,Graves,Esdrújulas,Sobreesdrújulas,2,,5,7
166,Selecciona el sinónimo de la palabra en mayúsculas: PROLIFERACIÓN,Acumulación,Exageración,Exuberancia,Declaración,3,,,7
167,Completa la analogía del siguiente enunciado: ,Parlamento,Compañía teatral,Obra de teatro,Director,3,,6,7
168,¿Cuál de las siguientes palabras es antónimo de INTERINO?,Transitorio,Provisional,Paseante,Fijo,4,,,7
169,¿Cuál de las siguientes palabras es antónimo de AFLUENCIA?,Exuberancia,Abundancia,Escasez,Demasía,3,,,7
170,Selecciona el enunciado que presente un uso correcto de la h:,Mantener limia la abitación y consumir bebidas naturales que hidraten la piel son hábitos indispensables.,Mantener limpia la habitación y consumir bebidas natruales que hidraten la piel son hábitos indispensables,Mantener limpia la habitación y consubir bebidas naturales que idraten la piel son hábitos indispensables,Mantener limpia la abitación y consumir bebidas naturales que hidraten la piel son ábitos indispensables ,2,,,7
171,Lee el siguiente párrafo: ,comillas,puntos y comas,paréntesis,puntos,3,,7,7
172,En el enunciado: ,Metalingüística,Apelativa,Sintomática,Referencial,4,,8,7
173,Elige la función de la lengua que predomina en el siguiente enunciado: Hombre-cohete y también golondrinas araña en vela que hila con luna su tela,Apelativa,Poética,Reflexiva,Referencial,2,,,7
174,Selecciona la opción que corresponda al fragmento en que predomina la naracción,La más de 200 minificciones incluidas en esta antología son una muestra de la vitalidad de un género que cuenta ya con el prestigio de autores reconocidos y con el interés de los lectores especializados. ,Cuando iba el otro día en el tren me erguí de pronto feliz sobre mis dos patas y empecé a manotear de alegría y a invitar a todos a ver el paisaje y a contemplat el crepúsculo que estaba de lo más bien ,"¡Las mejores ofertas no sólo en diciembre sino todo el año! ¡Con nosotros, ganas siempre!",Los medios de comunicación se encargan de difundir los hechos importantes para la sociedad en la que vivimos,2,,,7
175,¿Qué forma del discurso predomina en el siguiente párrafo? ,"Descripción
",Naracción,Argumentación,Relación,3,,9,7
176,"En el siguiente enunciado, determina la función de la palabra en mayúsculas: 
",Sujeto,Modificador,Núcleo del sujeto,Complemento adnominal ,3,,10,7
177,En el enunciado:,resolver preguntas,preguntas fundamentales,permitirá resolver,decodificación del genoma,3,,11,7
178,"En el texto el enunciado entre guiones largos también puede escribirse entre: 
",comillas,paréntesis,puntos y comas,guiones cortos,2,,12,7
179,Elige el párrafo con la mejor redacción,Nadie sabe cómo se obtuvieron esas conclusiones débiles y que sin embargo fueron aceptadas,"Nadie sabe cómo se obtuvieron esas conclusiones débiles que, sin embargo, fueron aceptadas",Nadie sabe cómo se obtuvieron esas conclusiones débiles que mas sin embarho fueron aceptadas,"Sin embargo, no obstante, nadie sabe cómo se obtuvieron esas conclusiones débiles que fueron aceptadas",2,,,7
180,"Sinónimos de ACUMULACIÓN
",Exuberancia,Manifestación,Acopio,Promiscuidad,3,,,7
181,Selecciona el enunciado que tiene ortografía correcta,El patriarca tuvo desavenencias con los advenedizos que se abstuvieron de las abluciones,El patriarca tuvo desavenencias con los advenedízos que se abstubieron de las abluciones,El patriarca tuvo desavenencias con los abdenedizos que se abstuvieron de las avluciones,El patriarca tuvo desabenencias con los advenedizos que se abstuvieron de las abluciones,1,,,7
182,Selecciona el enunciado que tiene ortografía correcta,Un subrreino es cada uno de los grupos taxonómicos en que se divide el reino animal,El enrrejado que rodea la casa de los restauradores le da un aspecto muy sombrío ,En la sala de prensa el ambiente se enrrareció cuanod el actor comenzó a fumar,La empresa más conocida del país está en bancarrota y su dueño ha desaparecido ,4,,,7
183,Escoge la opción que complemente adecuadamente la siguiente regla ortográfica: ,Grave - consonante,Esdrújula - cualquier letra,"Grave - n, s , a, e, i, o, u ","Aguda - a, e, i, o, u ",3,,13,7
184,Escoge la opción co la estructura más comprensible,Laura es una estudiante ciega por lo que su madre tiene que leerle textos que en la biblioteca de su escuela no están traducidos al Braile. ,La madre de Laura le lee porque no están escritos en Braile textos de la biblioteca de su escuela porque está ciega.,Porque está ciega la madre de laura tiene que leerle libros que no están en Braile en la biblioteca de su escuela. ,Como en la biblioteca de su escuela no están traducidos en sistema Braile Laura que está ciefa tiene que leerle libros a su madre.,1,,,7
185,Elige la opción que complete correctamente el siguiente texto:,c - s - c - sc - z - sc - s - c - z,s - c - c - sc - z - sc - s - c - z,c - s - c - sc - s - sc - c - z,c - s - c - sc - z - sc - s - c - s,1,,,7
186,"El siguiente texto incluye un discruso expresivo, porque...","Ofrece a modo de instructivo la información necesaria para eleborar undocumento, a la vez que argumenta cada paso en el procedimiento",Describe la elaboración de estos documentos,Cuenta el origen de la tradición de entrega de este documento al solicitar empleo,Convence a candidatos y sustentantes para seguir elaborando estos documentos,1,,24,7
187,Escoge la opción correcta,"Durante dos semanas el Lic. Zapata preparó, sin embargo fue vencido, pues las objeciones del abogado defensor fueron admitidas y sustentadas por el juez. ","Durante dos semanas el Lic. Zapata preparó el caso, más sin embargo fue vencido, pues las objeciones del abogado defensor fuero admitidas y sustentadas por el juez","Durante dos semans el Lic. Zapata preparó el caso, aunque fue vencido, pues las objeciones del abogado defensor fueron admitidas y sustentadas por el juez.","Durante dos semanas el Lic. zapata preparó el caso, por lo que fue vencido, pues las objeciones del abogado defensor fueron admitidas y sustentadas por el juez.",1,,,7
188,"Selecciona la opción que contiene el discurso narrativo
","Ciudad Lesbos en Mitilene, grande y hermosa. Pues está dividida por canales del mar, que penetra poco a poco, y está adornada por puentes de pulida y blanca piedra; creerías ver no una ciudad sino una isla. ","A cada son de la campana, un pájaro volaba: pájaros de ala inversa que mueren entre las tejas, donde ha caido la primera canción","Las mariposas que hoy vemos, ingrávidas, que se pueden posar en las flores, en la superficie de las aguas y hasta en las trémulas ramas del aire, no son otra cosa que una fracasada imagen de lo que el murciélago fue en otro tiempo: el ave más bella de la creación","Abrió la puerta que le llevó a una puerta más pequeña; y le llevó a una puerta más pequeña, y así fue abriendo puertas hasta llegar a una puerta diminuta como una gatera por la que se metió para encontrarse con una puerta pequeña que le llevó a una puerta más grande y así siguiño recorriendo un corredor infinito de puertas hasta que finalmente llegó a una pared. al otro lado se oía una sucesión de portazos.",4,,,7
189,En el siguiente párrafo identifica los sinónimos de las palabras marcadas en negritas,"imaginagle, indeclinable","fecundable, afable","inexpresable, incomprensible","entendible, inaccesible",3,,25,7
190,Músico es a orquesta como:,Actor es a teatro,Actor es a cine,Actor es a compañía teatral,Actor es a obra de teatro,3,,,7
191,"En la siguiente frase, ¿qué función de la lengua predomina?",Metalingüística,Fática,Referencial,Apelativa,4,,26,7
192,Indica cuál es la palabra escrita de forma correcta,compungido,desuzar,batacaso,efervecencia,1,,,7
193,Identifica que función desempeña la palabra en mayúsculas,Objeto directo,Atributo,Complemento circunstancial,Objeto indirecto,3,,27,7
194,En la siguiente oración identifica el objeto directo,todos,febrero ,sus propósitos,se,2,,28,7
195,"¿Cómo se favorece la siguiente reacción?<lat> Na_{2}CO_{3(s)} \rightarrow  Na_{2}O + CO_{2(g)}
</lat>",0ºC,50ºC,30ºC,70ºC,4,,,4
196,¿Qué condiciones favorecen la siguiente reacción? <lat>CH_{4}+2O_{2}\rightarrow CO_{2}+2H_{2}O</lat>,10 atm,15 atm,20 atm,50 atm,4,,,4
197,¿Cómo se favore la velocidad de una reacción?,"Más reactivo, más temperatura",Más reactivo y un catalizador,"Menos reactivo, más temperatura",Menos reactivo y un catalizador,2,,,4
198,"¿De acuerdo con el principio de Le Chatelier, cómo se favorece la reacción? <lat>N_{2(g)}+O_{2(g)}\leftrightharpoons N_{2}O_{4(g)}</lat>
",A mayor presión favorece a los reactivos,Ningún cambio de presión afecta,A mayor presión favorece a los profuctos,A menor presión favorece a los productos,3,,,4
199,"¿Qué efecto tiene el aumento de reactivo y agregar un catalizador en una reacción química?
",La inhibe,Disminuye su velocidad,Aumenta su velocidad,Aumenta energía de activación,3,,,4
200,Se disminuye 1.8g de glucosa en 100 mL de agua. Calcula la molaridad si la masa molar de la glucosa es de 180 g/mol:,0.6 M,0.08 M,0.10 M,0.11 M,3,,,4
201,¿Cómo se favorece la solubilidad de un soluto en un disolvente?,Bajando la presión,Aumentando la temperatura,Bajando la temperatura,Aumentando el disolvente,2,,,4
202,Identifica cuál compuesto es una base:,<lat>H_{2}O_{2}</lat>,<lat>LiOH</lat>,<lat>CH_{3}-CH_{2}-H</lat>,<lat>HO-CH_{2}-CH_{2}-CH_{2}-OH</lat>,2,,,4
203,"De las siguientes sustancias, ¿cuál es la base más fuerte?",KOH,HCl,<lat>NH_{3}</lat>,<lat>Na_{2}CO_{3}</lat>,1,,,4
204,¿El ácido más fuerte que tiene una mayor ionización en el agua es?,<lat>H_{2}CO_{3}</lat>,<lat>H_{2}SO_{3}</lat>,HCl,<lat>CH_{3}-COOH</lat>,3,,,4
205,"¿Cuál es la sustancia ácida?
",<lat>H_{3}B</lat>,<lat>H_{2}SO_{4}</lat>,<lat>H_{2}O</lat>,<lat>H_{2}O_{2}</lat>,2,,,4
206,¿Cuál es el ácido más fuerte por su capacidad de ionización?,Vinagre <lat>CH_{3}-COOH</lat>,<lat>HCl</lat>,<lat>H_{2}S</lat>,<lat>H_{3}P</lat>,2,,,4
207,"De las siguientes reacciones, elige la opción que represente la reacción entre dióxido de carbono como hidróxido de bario:",<lat>CO_{2}+Ba(OH_{2})_{2}\rightarrow BaCO_{3}+H_{2}O</lat>,<lat>CO_{2}+Ba(OH)_{2}\rightarrow (BaCOH_{2})_{2}</lat>,<lat>CO_{2}+Ba(OH)_{2}\rightarrow BaCO_{3}+H_{2}O</lat>,<lat>CO_{2}+BaOH_{2}\rightarrow BaCO_{3}+H_{2}O</lat>,3,,,4
208,¿Qué producto se obtiene al hacer reaccionar un ácido inorgánico y una base inorgánica?,Solo sal,Sal + agua,Óxido + sal,Éter + sal ,1,,,4
209,"¿Por su capacidad de ionización, cómo se clasifica el <lat>CH_{3}-COOH</lat>?",Fuerte,Base,Débil,Anfótero,3,,,4
210,"De las siguientes opciones, ¿cuáles son los ácidos más fuertes?",<lat>HCl - HNO_{3}</lat>,<lat>CH_{3}-COOH - HCl</lat>,CaH - HCl,<lat>HNO_{3} - CH_{3}-COOH</lat>,1,,,4
211,¿A qué color cambia el papel tornasol cuando se somete a un ácido?,Azul,Rojo,Verde,Amarillo,2,,,4
212,Identifica la reacción que produce una sal:,<lat>KOH+HCl\rightarrow KCl + H_{2}O</lat>,<lat>CH_{4}+2O_{2}\rightarrow CO_{2}+H_{2}O</lat>,<lat>2H_{2}+O_{2}\rightarrow 2H_{2}O</lat>,<lat> N_{2}+3H_{2}\rightarrow 2NH_{3}</lat>,1,,,4
213,"Si el agua de mar tiene un pH de 8.6, ¿qué tipo de sustancia es?",Ácido,Base,Neutra,Mixta,2,,,4
214,Cuando el papel tormasol toma un colo azul estamos hablando de:,Ácido,Base,Sal,Neutro,2,,,4
215,Si un ácido inorgánico débil se mexcla con una base inorgánica débil y toma un color amarillo. ¿Cuál es el pH de la sustancia cuando le agregas un ácido y cambia a rojo en su punto de equivalencia?,4.8,4.4,2.8,6.4,4,16,,4
216,"Es el número de protones y neutrones que presenta el antimonio (Sb, número atómico 51 y peso atómico 121.7)","51 p, 71 n","71 p, 51 n","122 p, 71 n ","130 p , 70 n ",1,,,4
217,"Es una mezcla homogénea formada por iones de un ácido débil y su base conjugada, que evita cambios drásticos del pH",solución saturada de vinagre,"mezcla racémica
",solución tampón o buffer,agua regia,3,,,4
218,En la siguiente reacción química: <lat>C+HNO_{3}\rightarrow NO_{2}+CO_{2}+H_{2}O</lat>,el C se reduce,el C es un agente oxidante,el N se reduce,el N se oxida,3,,,4
219,"Las enzimas son catalizadores de reacciones bioquímicas, estas sustancias son proteínas formadas por:",nucleótidos,carbohidratos,lípidos,aminoácidos,4,,,4
220,"La unión entre dos elementos no metálicos con igual electronegatividad, formada por enlaces covalentes no polares se ejemplifica en el inciso:","Au, Ag y Pt","<lat>O_{2}, N_{2} y H_{2}</lat>","<lat>Cu_{2}, Ag_{2} y Fe_{2}</lat>","<lat>CO_{2}, PH_{3} y CH_{4}</lat>",2,,,4
221,¿Cuál es la reacción química que representa mejor la acción de la lluvia ácida sobre el mármol?,<lat>H_{2}SO_{4}+CaCO_{3}\rightarrow CaSO_{4}+H_{2}O+CO_{2}</lat>,<lat>H_{2}CO_{3}+CaO\rightarrow CaCO_{3}+H_{2}O</lat>,<lat>HNO_{2}+H_{2}O\rightarrow HNO_{3}</lat>,<lat>HCl+CaCO_{3}\rightarrow CaCl_{2}+H_{2}CO_{3}</lat>,1,,,4
222,"¿Cuál de los siguientes compuestos es un isómero del hexano?
",2-metilpentano,"1-eti, 2-propilbutano","2,4,6-butano","2,2,4-trimetihexano",1,,,4
223,"El carbonato de cálcio reacciona con el ácido clorhídrico para dar cloruro de calcio, dióxido de carbono y agua. ¿Cuál es la ecuación  ajustada correspondiente al proceso?",<lat>2CaCO_{3}+4HCl\rightarrow 2CaCl_{2}+CO_{2}+2H_{2}O</lat>,<lat>CaCO_{3}+2HCl\rightarrow 2CaCl_{2}+2CO_{2}+H_{2}O</lat>,<lat>CaCO_{3}+2HCl\rightarrow CaCl_{2}+CO_{2}+H_{2}O</lat>,<lat>2CaCO_{3}+2HCl\rightarrow 2CaCl_{2}+CO_{2}+H_{2}O</lat>,3,,,4
224,"A la sustancia capaz de aumentar la velociad de una reacción, pero que no se consime durante esta y que puede ser recuperada al final, se le conoce como:",Anestésica,Catalizadora,Concentrada,Neutralizadora,2,,,4
225,¿A qué presión se obtendrá la mayor masa de <lat>CO_{2}? C_{3}H_{8(g)}+5O_{2(g)}\rightarrow 3CO_{2(g)}+4H_{2}O_{(g)}</lat>,30 atm,20 atm,10 atm,40 atm,4,,,4
226,"Si la masa molar del agua es de 18 g/mol y la del azúcar es de 342 g/mol, ¿cuáles serán las unidades de mol totales que se obtienen cuando se disuelve 3.42g de azúcar en 180g de agua?",01.01,10.01,10.1,11.0,2,,,4
227,"A 70ºC la solubilidad del cloruro de potasio es 50g/ 100 <lat>cm^{3}</lat> de agua, el el laboratorio un estudiante pesa 75g/ 100 cm^{3} de agua de cloruro de potasio a temperatura de 70ºC por lo tanto:",Está saturada y le sobran 25g de cloruro de potasio que no se disuelve,No está saturada y le faltan 50g de cloruro de potasio para que se sature,Está saturada y le sobran 50g de cloruro de potasio que no se disuelven,La solucción no es saturada y le faltan 25g de cloruro de potasio para que se sature,1,,,4
228,En la reacción de neutralización que se lleva a cabo a continuación: ,2,5,10,20,4,,20,4
229,¿Cuál es la sustancia que se obtiene al hacer reaccionar quimicamente al ácido propanoico con el alcohol etílico?,etanoato de propilo,pentanoato de etilo,propanoato de etilo,anhídrico propanoico,3,,,4
230,"Al igual que el aire, el petróleo es una mezcla de tipo...",homogénea,heterogénea,dispersa,dicomponente,1,,,4
231,¿Cuál es un ejemplo de ácido fuerte?,H_{2}SO_{4},NH_{4},CH_{6}OH,CH_{3}COOH,1,,,4
232,"Relación entre entropía, entalpía y energía libre de Gibbs",\Delta G=\Delta H+TdS,\Delta G=\Delta H-TdS,\Delta H=\Delta G+TdS,\Delta H=\Delta G-TdS,2,,,4
233,¿Qué molécula presenta un grupo éter?,CH_{3}-O-CH_{3},CH_{3}-CH_{2}-OH,CH_{3}-CH_{2}-CH_{3},CH_{3}-OH-CH_{3},1,,,4
234,Estructura del Ácido acético,CH_{4},"CH_{3}COH
",CH_{3}COOH,CH_{3}-CH_{2}-CH_{2}-CH_{2}-OH,3,,,4
235,"El ácido acético, ¿qué tipo de ácido es?",Débil,Fuerte,Diprótico,Monoprótico,1,,,4
236,¿Cuál es la configuración electrónica del carbono?,"1s^{2}, 2s^{2}, 1p^{6}","1s^{2}, 2s^{2}, 1p^{5}","1s^{2}, 2s^{2}, 1p^{2}","1s^{2}, 2s^{2}, 1p^{3}",3,,,4
237,"A partir de la configuración electrónica del carbono, indica en que familia está y en qué periodo se encuentra:","Periodo 3, familia IVA","Periodo 2, familia IIIA","Periodo 2, familia IVA","Periodo II, familia IVB",3,,,4
238,Cuando un cubo de hielo se derritem ¿qué tipo de cambio ocurre?,Químico,Físico,Ningún cambio,Molecular,2,,,4
239,"Cuando el núcleo de un átomo se separa, ocurre una:",Fusión,Fisión,Ionización,Oxidación ,2,,,4
240,"Es un ejemplo de alcano:
",CH\equiv CH,CH_{3}CH_{2}CH_{3},CH_{2}= CH_{2},CH_{3}CHO,2,,,4
241,¿Cuántos carbonos están presentes en la glucosa?,5,6,4,2,2,,,4
242,Calcular la masa molar de CH_{3}COOH,58 g/mol,50 g/mol,84 g/mol,60 g/mol,4,,,4
243,¿Cuáles son los componentes del aire?,"N, CO_{2}, CO, CFC's, O_{3}","N, O, Ar, CO_{2}, vapor de agua y gases nobles","N, O, CO_{2}","N, H, O, N, S",3,,,4
244,"De acuerdo a los electrones de valencia del Cl, ¿qué tipo de orbital presenta?",s,p,d,f,2,,,4
245,¿Cuál es uno de los productos de la reacción del mármol (carbonato de calcio) con lluvia ácida (H_{2}SO_{4})?,Ca(OH)_{2},CaCO_{3},CaSO_{4},CaI_{2},2,,,4
246,"Los elementos de la familia VIA de la tabla periódica, ¿cuántos electrones presenta en su último nivel energético?",8,10,7,6,4,,,4
247,Cómo se le considera a una disolución a temperatura constante si alcanza su máximo poder de disolución:,Saturada,Sobresaturada,Concentrada,Diluida,1,,,4
248,"Numerosos blanqueadores para lavandería contienen hipoclorito de sodio o de calcio como ingrediente activo. El clorox, por ejemplo, contiene aproximadamente 52g de NaClO por litro de solución. ¿Cuál es la molaridad de esta solución?",0.70 M,0.85 M,0.50 M,0.58 M,1,,,4
249,Concepto de electronegatividad,Energía necesaria para separa un electrón en su estado fundamental de un átomo,Capacidad que tiene un átomo para atraer un electrón,Capacidad que tiene un átomo para donar electrones,Energía liberada de un átomo para atraer un electrón ,2,,,4
250,¿Qué es la glucosa?,Una  molécula de 5 carbonos,Una molécula de 6 carbonos,Una proteína,Un aminoácido de 6 carbonos,2,,,4
251,Modelo de Thompson,Modelo de sistema planetario,Modelo de la esfera sólida,Modelo de budín de pasas,Modelo de orbitales energéticos,3,,,4
252,Compuesto orgánico que termica OH,Cetona,"Éter
",Ácido carboxílico,Alcohol,4,,,4
253,Masa molecular de dicromato de postasio,294 g/mol,300 g/mol,283 g/mol,242 g/mol,1,,,4
254,"Valencia de los siguientes elementos B, Cl, C, Li","3, 7, 4, 3","3, 4, 2, 2","3, 6, 4, 1","3, 7, 4, 1",4,,,4
255,¿Cómo se identifica un ácido?,Por un ion H^{+},Por un ion OH^{-},Por su grado de disociación ,Por su número de carbonos,1,,,4
256,Configuración electrónica del Ca:,"1s^{2}, 2s^{2},1p^{6},3s^{2},3p^{6},4s^{1}","1s^{2}, 2s^{2},1p^{6},3s^{2},3p^{6}","1s^{2}, 2s^{2},1p^{6},3s^{2},3p^{6},4s^{2}","1s^{2}, 2s^{2},1p^{6},3s^{2},3p^{5}",3,,,4
257,"La construcción del conociemiento sobre el pasado es un proceso que implica la selección, análisis e interpretación de:",ideas políticas económicas y sociales,"fuentes escritas, gráficas y materiales","métodos huerísticos, hermenéuticos y positivistas","problemas dialécticos, empíricos y materialistas",2,,,8
