id,question,answer1,answer2,answer3,answer4,correct_answer,figure,paragraph,subject
258,El historiador aborda su objeto de estudio por medio de:,el análisis de los instrumentos de trabajo ,los estudios previos sobre los acontecimientos,las fuentes directas e indirectas,la observación del objeto,3,,,8
259,"En el ámbito político, la ilustración influyó en el establecimiento de un sistema denominado:",Sistema Feudarl ,Filosofía Ilustrada,Monarquía absoluta,Despotismo Ilustrado,4,,,8
260,Algunas causas internas y externas de la independencia de las Trece Colonias fueron:,"Parlamento corto, Parlamento largo y Parlamento moderado","Estados generales, Asamblea Nacional y Asamblea Constituyente
","Impuestos excesivos, la Ilustración y el apoyo de Francia","Ludismo, Cartismo y Socialismo ",3,,,8
261,"Grupo social que durante los siglos XVIII y XIX ideó, emprendió y consumó los movimientos revolucionarios con el din de conseguir el poder político en sus respectivos países:",Burgueses,Obreros,Campesinos,Nobles,1,,,8
262,Relaciona cada uno de los siguientes movimientos del siglo XIX con sus características,I: d - II: b - III: e - IV: a - V: c,I: a - II: d - III: b - IV: c - V: e,I: c - II: e - III: a - IV: d - V: b,I: b - II: a - III: c - IV: e - V: d,2,10,,8
263,La diferencia entre el ludismo y el cartismo radica en que el primero:,"consiste en la destrucción de máquina por los obreros, y el segundo en la petición de reformas políticas al Parlamento","se caracterizaba por el espítiru de colaboración entre sus miembros, y el segundo por la defensa de la reforma electoral de 1836 en Inglaterra","consistía en avances científicos y tecnológicos, y el segundo en el envío de cartas con peticiones de obreros al Parlamento Inglés. ","pretendíavolver a las condiciones de producción artesanal, y el segundo defendía el derecho de voto burgués. ",1,,,8
264,"A finales del siglo XVIII Inglaterra establecía igual que otras naciones su imperio colonial, desafilando a las viejas potencias. Entre sus posesiones estaba Canadá, India, Australia, Egipto y África del Sur. Este imperio estableció una nueva estructura político administrativa que fortalecía la vida de Inglaterra, creó protectorados y compañías. ¿A qué hace referencia el texto anterior?",Al Imperio Inglés,A la Revolución Industrial,"A que Inglaterra llevó su cultura a todo el mundo
",A la descolonización,1,,,8
265,Factores que originaron el capitalismo monopolista:,La inversión de capitales al interior de los países y los cambios tecnológicos en la agricultura y los transportes,"Los excedentes de mercancía y de capitales, así como la búsqueda de nuevos mercados para su venta e inversión.","El dominio colonia de continentes como el africano y el asiático, así como el predominio de sociedades anónimas para subsidiar industrias",La necesidad de poseer colonias para solucionar problemas de sobrepoblación y los efectos de la Revolución Industrial,1,,,8
266,Relaciona las columnas de persoanjes y acontecimientos de la Primera Guerra Mundial,I: a - II: b - III: c - IV: d - V: e,I: d - II: c - III: b - IV: a - V: e,I: e - II: d - III: c - IV: b - V: a,I: b - II: e - III: a - IV: c - V: d,3,11,,8
267,"¿Quién gobernó Rusia tras la abdicación del úlitmo zar, Nicolás II?
",El Parlamento,Su hermano ,León Trotsky,Alejandro Kerensky,4,,,8
268,Relaciona los tratados de paz que se firmaron al finalizar la Primera Guerran Mundial con los postulados que se establecieron en ellos,I: c - II: b - III: a - IV: d - V: e,I: a - II: c - III: d - IV: b - V: e, I: b - II: a - III: c - IV: e - V: d,I: d - II: e - III: b - IV: a - V: c,2,12,,8
269,"Características comunes a los regímenes totalitarios de Italia, Alemania y Japón","Regimen de partido único y militarista, sentimiento nacionalista y política expansionista","Ideología socialista, supresión de las garantías individuales, simpatía con obreros y campesinos",Supremacía de la raza aria. Lucha contra el imperialismo estadounidense y búsqueda por conquistar el mundo,"Política basada en la propaganda, su gobierno tiene bases tecnológicas y economía basada en monopolios",1,,,8
270,"El nacionalismo exacerbado, el imperialismo, el armamentismo y las alianzas con fines militares fueros causas de la:",Guerra Fría,Segunda Guerra Mundial,Guerra de los siete días,Crisis de los misiles,2,,,8
271,"De los siguientes acontecimientos, ¿cuáles son las consecuencias de la Guerra Fría?","II, IV y V","I, II y IV","III, I y V","IV, III y II",2,,,8
272,Elige cuáles fueron las consecuencias de la Segunda Guerra Mundial ,I y III,II y V,III y VI,I y IV,4,13,,8
273,Durante la Guerra Fría el mundo se polarizó formando dos bloques. De la lisya de características que se mencionan a continuación elige cuáles corresponde a cada uno,"I: a, b, d - II: c, e","I: a, b, c - II: d, e","I: d, e  - II: a, b, c","I: b, c - II: a, d, e",1,14,,8
274,"La construcción del muro de Berlín, la crisis de los misiles y la carrera armamentista acontecimientos que se desarrollaron en el periodo conocido como:",Revolución alemana,Globalización económica,Guerra Fría ,Desintegración de la Unión Soviética,3,,,8
275,Naciones africanas que realizaron su independencia en la seguna mitad del siglo XX,India y Siria,Camboya y Laos,Libia e Irán,Congo y Argelia,4,,,8
276,Entre las causas que provocaron la caída del bloque soviético se encuentran,la liberación de la economía y la construcción de Estados socialistas,las reformas de Gorbacho y el estancamiento de la producción,La centralización excesiva y la búsqueda de la identidad nacional ,Las reformas a la sociedad y la búsqueda de identidad nacional,2,,,8
277,Aportación tecnológica del siglo XX que ha contribuido a incrementar la producción industrial,Biotecnología,Robotización,Clonación,Rotación de cultivos,2,,,8
278,"La historia se encarga del estudio de acontecimientos con base en fuentes, mismas que interpreta y analiza. Estas pueden ser:","Hermenéuticas, positivistas y materlialistas","Escritas, materiales o gráficas","Económicas, sociales y políticas","Religiosas, culturales y económicas",2,,,8
279,La ilustración se basa en el uso de la razón. Algunas características de este movimiento son:,"I, II, IV","II, III, V","III, IV, II","I, III, IV",2,22,,8
280,Causas de la independencia de las trece colonias:,"Influencia de la Revolución francesa, Revolución gloriosa y la Ilustración","Ideas de la Ilustración, Guerra de los siete años, motín del té","Guerra de secesión, problemas antiesclavistas y asesinato de Abraham Lincoln ","Revolución gloriosa, Guerra de los treinta años e invasiones napoleónicas",2,,,8
281,Causas de la Segunda Revolución Industrial ,Uso de petróleo y carbón ,Desempleo y problemas migratorios,Utilización de electricidad y petróleo ,Sobrepoblación y migración ,3,,,8
282,"¿Qué características tuvieron en común la Unificación de Alemania y el ""Resurgimiento de Italia""?",Socialismo,Comunismo,"Nacionalismo
",Marxismo,3,,,8
283,Causas de la primera Guerra Mundial,Invasión de Alemania a Polonia y asesinato de Francisco Fernando,Asesinato del heredero al trono del imperio de Austria-Hungría,Conflictos étnicos en los Balcanes y Guerra Civil española,Rivalidad Franco-Germana y Tratado de Versalles,2,,,8
284,¿Con qué terminó la Primera guerra Mundial,Tratados de Versalles,Tratados de Belavezha,Tratados de Saint Germain ,Tratados de Brest Litovsk,1,,,8
285,¿Quién es el líder de la Revolución Bolchevique?,Joseph Stalin,León Trotsky,Alexander Kérensky,Vladimir Lenin,4,,,8
286,"Características del Totalitarismo de Italia, Japón y Alemania ","Nacionaismo extremo, gobierno de partido único y militarismo","Superioridad aria, deseo de gobernar al mundo y políticas liberales","Defensa de la democracia, libertad de expresión y oposición al imperialismo estadounidense ","Combate al monopolio, restricciones comerciales y desmilitarización",1,,,8
287,La Segunda Guerra Mundial estuvo dividida en dos etapas. Un acontecimiento significativo de la segunda fue:,Operación Barbarroja,Tratados de Versalles,Intervención de Estados Unidos,Anexión de Dánzig (Polonia) al III Reich,3,,,8
288,Algunos acontecimientos ocurridos en el contexto de la Guerra Fría fueron:,"I, III, V","II, III, IV","V, III, II","I, III, IV",1,23,,8
289,"El lider soviético Nikita Kurshov ordenó la instalación de bases militares en Cuba, a este hecho se le conoció como:",La desintegración de la Unión Soviética,La Revolución Cubana,La Crisis de los Misiles,La caída del Muro de Berlín ,3,,,8
290,Algunas características de la globalización económica:,"I, II, IV, VI, VII","I, IV, V, VI, VII","II, III, IV, VI, VII","I, II, III, V, VI",2,24,,8
291,"Herramienta tecnológica que ha tenido amplio desarrollo en los últimos tiempos, facilitando una acelerada industrialización:",Nanotecnología,Robotización,Biotecnología,Cambio en técnicas de irrigación,,,,8
292,Lee la estrofa y contesta la pregunta: ,Metáfora,Antítesis,Metonimia,Sinécdoque,1,,14,6
293,"¿Qué figura retórica representa la frase subrayada?
",Elipsis,Metáfora,Paradoja,Comparación,2,,15,6
294,Lee la siguiente oración: ,Poética,Emotiva,Apelativa,Referencial,3,,16,6
295,En la siguiente estrofra:,El viento choca con los árboles por la tormenta que amenaza,Los álamos son el marco para el amor desesperado que siente,Los árboles del campo deflejan la profunda tristeza que le embarga,"El campo está quieto, silencioso y oscuro. El viento mueve los árboles",4,,17,6
296,"El fragmento: ""le tomé su voz libre como el agua"", se refiere a una:",Metonimia,Sinécdoque,Comparación,Prosificación,3,,,6
297,"¿De cuántas sílabas se comopone la métrica del verso: ""Yo tuve un hermano""'?
",Seis,Siete,Cinco,Cuatro,1,,,6
298,"A la naración en prosa, relativamente breve se le denomina:",Drama,Novela,Poesía,Cuento,4,,,6
299,Selecciona de las siguientes descripciones la que se refeire a un texto dramático,"Historia subjetiva donde el narrador, habla de sus sentimientos personales",Historia donde se plantean sucesos y acciones en torno a uno o varios personajes,Conjunto de hazañas gloriosas que hablan de un héroe de la historia de un pueblo ,Relatos tradicionales que pasan de una genereación en generación y se basan en hechos históricos,2,,,6
300,Constituye en el relato la parte que sucede inmediatamente después del momento culminante de la narración,Climax,Desenlace,Desarrollo,Nudo ,2,,,6
301,Lee el siguiente enunciado: ,Núcleo del sujeto,Complemento predicativo,Complemento adnominal,Núcleo del predicado,4,,18,6
302,Movimiento armónico que se encuentra en un poema,Verso,Aliteración,Rima,Ritmo ,4,,,6
303,El tema central del siguiente fragmento es: ,el ocaso de la vida,antes  de la creación,la naturaleza del cielo,los elementos de la naturaleza,2,,19,6
304,"Corriente literaria caracterizada por su objetivismo, imparcialidad, lenguaje preciso y descripción fiel al ambiente",Modernismo,"Romanticismo
",Vanguardismo,Realismo,4,,,6
305,¿A qué género pertenecen las obras literarias escritas a manera de diálogos?,Lírico,Épico,Prosa,Dramático,4,,,6
306,Escritor peruano que alcanzó la fama en 1960 y en 2010 ganó el Premio Nobel de Literatura,Octavio Paz,Carlos Fuentes,"Mario Vargas Llosa
",Gabriel García Márquez,3,,,6
307,"El libro titulado Azul de Rúben Darío, publicado en 1888, pertenece al:",Realismo,"Romanticismo
",Surrealismo,Modernismo ,4,,,6
308,"En la literatura realista, es considerado el novelista español más importante del siglo XIX. La clase media y la burguesía tienen en él a un pintor inigualable. Entre sus obras se encuentran: Fortuna y Jacinta, Doña perfecta, Marianela, entre otras",José Zorrilla,Juan Valera,Gustavo A. Bécquer,"Benito Pérez Galdós
",4,,,6
309,"De las siguentes opciones, ¿cuál es ek cibceoti CORRECTO de corriente literaria?","Realismo: comenzó a mitad del siglo XIX, predominó la novela que reflejaba sucesos o costumbres de la época.","La literatura está dividida en género y subgéneros literarios, en los que destaca la narrativa, lírica y épica","Romanticismo: se desarrollo en el Siglo XIX, predominó la descripción, objetividad y el culto al arte grecolatino","Clasicismo: comenzó a la mitad del Siglo XIX, predominó el relato picaresco, fue analítico, racional y falto de sentimientos. Gabriel García Márquez es su máximo representante ",1,,,6
310,Son algunas de las obras de Carlos Fuentes,"La tumba, Aurora, Terra nostra","Aura, La tierra pródiga, La región más transparente
","Cristóbal Nonato, Las buenas conciencias, La tierra pródiga","Cristóbal Nonato, Las buenas conciencias, La región más transparente",4,,,6
311,"Corriente literaria que surge durante la segunda mitad del siglo XIX, cuyos autores retaltan el mundo que les rodea a manera de experimentadores, se interesa por el presente, por los problemas socuales y se apoyan en el método científico ",Surrealismo,Naturalismo,Romanticismo ,Neoclasicismo ,2,,,6
312,Movimiento poético latinoamericano inspirado en el parnasianismo y el simbolismo ,Dadaísmo,Surrealismo ,Modernismo ,"Romanticismo 
",3,,,6
313,"Escritor colombiano, ganador al Premio Nobel de Literatura en 1982. También es autor de la novela Cien años de soledad. ",Octavio Paz,Julio Cortázar,"Mario Vargas Llosa
",Gabriel García Márquez,4,,,6
314,"Ignacio Manuel Altamirano es un escritor mexicano nacido en Tixtla, Guerrero, es auto de Clemencia, El Zarco, Navidad en las montañas, entre otras. Una de las características que lo distingue es...",querer superar el arte europeo,exaltar la herencia cultural española,defender la organización política monárquica en México,revalorar el pensamiento liberal en voz de sus personajes,4,,,6
315,"¿Quién fue el autor de Madame Bovary?
",Edgar Allan Poe,Gustave Flaubert,"Mario Vargas Llosa
","Benito Pérez Galdós
",2,,,6
316,Selecciona la opción que considera a los representantes del Realismo,"Mary Shelley, Gustavo A. Bécquer, Edgar Allan Poe","Mabuel Gutierrez Nájera, Manuel Acuña, Rubén Darío","Alejandro Dumas, Émile Zola, Manuel Gutierrez Nájera","Benito Pérez Galdós
, Honorato de Balzac, Ángel del Campo",4,,,6
317,"Edgar Allan Poe y Gustavo Adolfo Bécquer pertenece a la corriente literaria...
",Naturalismo,Costumbrismo,Renacimiento,"Romanticismo 
",4,,,6
318,"Da la renocación de la lírica hispanoamericana del sigo XX. El premio Nobel de Literatura de 1990, mexicano",Octavio Paz,Carlos Fuentes,Juan José Arreola,José Emilio Pacheco,1,,,6
319,El movimiento literario latinoamericano que enarbola la bandera de libertad hacia la belleza es el:,Romanticismo,Clasicismo,Modernismo ,Dadaismo ,1,,,6
320,"La comedia humana, obra que incluye varias novelas, fue escrita por:",Stendhal,Zoia,Balzac,Dickens,3,,,6
321,La paráfrasis es un proceso a partir del cual:,"comprendes e interpretas un texto diciendo lo mismo, pero con otras palabras",haces una síntesis de las ideas más importantes utilizando el vocabulaio del texto,explicas un texto e incorporas tu punto de vista sobre los puntos en los que coincides,revisas los aspectos sustanciales del texto y los explicas retóricamente sin cambiar los términos del texto original,1,,,6
322,¿Cuál de los siguientes titulares de periódicos muestra una visión imparcial de una noticia?,"""Copetes y gel atizan el debate""","""Mueren cinco niños al desplomarse muro en China""","""Medieval, crítica de Iglesia a matrimonios gay: Ebrard""","""Zafarrancho entre PRI y PAN acaba en vituperios a Calderón""",2,,,6
323,"Con los datos: ""Armando Ayala Anguiano, Historia esencial de México, tomo 6, ed. Contenido, México 2003"", se puede elaborar una ficha:",bibliográfica,hemerográfica,de cita textual ,de análisis literal,1,,,6
324,"¿Qué elemento falta en la siguiente ficha hemerográfica"" Chelico, Hernández José, ""Influenza llega a México"", en La Jornada, sección ""Capital"", año II, Nueva época, num. 32, p. 6",Título del artículo,Nombre de la publicación,Año y número,Lugar y fecha,4,,,6
325,Relaciona los siguientes tipos de fichas con sus ejemplos ,I: b - II: a - III: d - IV: c,I: a - II: c - III: b - IV: d,I: d - II: b - III: a - IV: c,I: c - II: a - III: b - IV: d,1,15,,6
326,Corriente latinoamericana poética nacida del Simbolismo y Paranasianismo francés,Modernismo,"Romanticismo
",Realismo,Surrealismo,1,,,6
327,En la ficha textual se debe de:,"Referir la idea textual de algún autor, que se deberá de escribir entre comillas y mencionar la fuente
",Referir las ideas más importantes de algún texto escrito por otro autor. Se debe incluir en ella los datos de fuente,Referir las opiniones particulares acerca de la fuente a la que se refiere en una investigación,Referir la explicación personal acerca de algún tema expuesto por otro autor,1,,,6
328,"Tema, obra, autor, página referida y cuerpo entre comillas, son datos de una ficha de:",de Cita Textual,"de Resumen
","de Sintesis
","de Paráfrasis
",1,,,6
329,Características del Realismo,"Por medio de la objetividad intenta hacer un retrato de la realidad. En el estilo son faltos de adorno, muy descriptivos y concretos",Por medio de la subjetividad intenta exponer los sentimientos de manera exagerada. su estilo es libre e innovador.,Por medio del exceso de adornos los autores exponen la belleza de las cosas triviales,"Por medio de mezcla de recursos, corrientes y géneros, los autores exaltan la belleza del mundo",1,,,6
330,Características de la Ficha de Comentario,Expone las opiniones personales sobre la fuente de investigación,En ella se transcribe una máxima o frase célebre,Menciona los datos más importantes de una investigación,Menciona abreviando el contenido del texto fuente,1,,,6
331,La editorial de un texto periodistico pertenece al género,de opinión,periodistico,híbrido,informativo,1,,,6
332,"Autor, título de la obra, lugar y fecha de publicación, volumen, año y número, son datos de una ficha:",Hemerográfica,Bibliográfica,de Síntesis,de Trabajo,1,,,6
333,"Corriente de Vanguardia nacida en Francia; caracterizada por negar todo, olvidar todo",Dadaísmo,Surrealismo ,Modernismo ,Realismo,1,,,6
334,Corriente de Vanguardia naciada en Frnacia caracterizada por expresar mundos oníricos,Surrealismo,Dadaísmo,Modernismo ,Realismo,1,,,6
335,Identifica la figura literaria en el siguiente texto:,Metáfora,Comparación,"Hipérbole
",Sinestesia,1,,21,6
336,Características del género épico,"Nacido en Grecia clásica, por medio de él el autor narra una historia y en el que conocemos sus opiniones. Puede estar escrito en verso o prosa",Por medio de este género el autor expone sus sentimientos. Regularmente está escrito en versos,Género en el que conocemos las ideas del autor de manera indirecta (por la voz de los personajes) y presenta un conflicto para su representación,Género menor en el que el autor cuenta una historia apoyándose de varias lineas argumentativas,1,,,6
337,"¿A qué género literario pertenece el siguiente texto?
",Épico,Lírico,Dramático,Prosa,1,,22,6
338,Características del género lírico,Por medio de este género el autor expone sus sentimientos. Regularmente está escrito en verso. ,"Nacido en Grecia clásica, por medio de él el autor narra una historia y en el que conocemos sus opiniones. Puede estar escrito en verso o prosa",Género en el que conocemos las ideas del autor de manera indirecta (por la voz de los personajes) y presenta un conflicto para su representación,Género menor en el que el autor cuenta una historia apoyándose de varias lineas argumentativas,1,,,6
339,Identifica cuál de las siguientes características pertenece a la comedia,Una narrativa fatalista,Una temática épica,"Desgracia del héroe
",Un tono jocoso,4,,,6
340,"Por su modo de expresión, ¿a qué género literario pertenece el siguiente texto?",Narración,Descriptivo,Lírico,Expositivo,3,,23,6
341,Desarrolla el siguiente binomio: <lat>(m-n)^{3} </lat>,<lat>m^{3}+3m^{2}n+3mn^{2}-n^{3}</lat>,<lat>m^{3}-3m^{2}n+3mn^{2}+n^{3}</lat>,<lat>m^{3}-3m^{2}n+3mn^{2}-n^{3}</lat>,<lat>m^{3}+3m^{2}n+3mn^{2}+n^{3}</lat>,3,,,2
342,La solución de la ecuación<lat>\frac{1}{x}-\frac{1}{3} = \frac{2}{x}+\frac{1}{4}</lat> es:,<lat>\frac{12}{7}</lat>,<lat>-\frac{7}{12}</lat>,<lat>\frac{7}{12}</lat>,<lat>-\frac{12}{7}</lat>,4,,,2
343,Al resolver la ecuación <lat>5(x+2)+x=2(x-1)</lat> el valor de la variable es:,x= 3,x= -3,"x= 2
",x= -2,2,,,2
344,Al desarrollar el siguiente binomio <lat>(x-y)^{2}</lat> queda: ,<lat>x^{2}+y^{2}</lat>,<lat>x^{2}-y^{2}</lat>,<lat>x^{2}-2xy+y^{2}</lat>,<lat>-x^{2}+y^{2}</lat>,3,,,2
345,Al derivar la función <lat>f(x)=x^{2}</lat> resulta: ,<lat>x^{2}</lat>,2x,<lat>\frac{x^{3}}{3}</lat>,<lat>x^{3}</lat>,2,,,2
346,"¿Cuál es la distancia entre los puntos A(2,2) y B(3,-2)?",<lat>\sqrt{17}</lat>,<lat>\sqrt{10}</lat>,<lat>\sqrt{8}</lat>,<lat>2\sqrt{17}</lat>,1,,,2
347,¿Dónde se encuentra la asíntota de la función <lat>f(x)=ln(x-1)</lat>?,"x= 1
",<lat>x=\frac{1}{2}</lat>,<lat>x=-\frac{1}{2}</lat>,<lat>x=-1</lat>,1,,,2
348,Una integral equivalente a la integral <lat>\int kf(x)dx</lat> es:,<lat>\frac{1}{k}\int f(x)dx</lat>,<lat>k\int f(x)dx</lat>,<lat>\frac{k^{2}}{2}\int f(x)dx</lat>,<lat>\frac{1}{k^{2}}\int f(x)dx</lat>,2,,,2
349,¿Cuál son las derivadas de <lat>f(x)senx</lat> y de <lat>f(x)cosx</lat>?,<lat>{f}'(x)=cosx</lat> y <lat>{f}'(x)= -senx</lat>,<lat>{f}'(x)= -cosx</lat> y <lat>{f}'(x)= -senx</lat>,<lat>{f}'(x)=cosx</lat> y <lat>{f}'(x)= senx</lat>,<lat>{f}'(x)= -cosx</lat> y <lat>{f}'(x)= senx</lat>,1,,,2
350,La derivada de <lat>{f}(x)=\frac{1}{\sqrt{2-x}}</lat> es:,<lat>\frac{2}{\sqrt{2-x}}</lat>,<lat>\frac{2}{2\sqrt{2-x}}</lat>,<lat>\frac{1}{\frac{2\sqrt{2-x}^{3}}{1}}</lat>,<lat>-\frac{1}{2\sqrt{2-x}^{3}}</lat>,3,,,2
351,El resultado de la integral <lat>\int 2xe^{x^{2}}</lat>,<lat>-e^{x^{2}}+c</lat>,<lat>2e^{x^{2}}+c</lat>,<lat>e^{x^{2}}+c</lat>,<lat>2xe^{x^{2}}+c</lat>,3,,,2
352,60º es equivalente en radianes a ,,,,,4,,,2
353,"Si y=-2x+b es ecuación de una recta, donde b es cualquier número real y el coeficiente de la variable independiente es idéntico al coeficiente de la x de otra rects, entonces las rectas son",Paralelas,Perpendiculares,Transversales,Tangentes,1,,,2
354,Si el movimiento de una partícula esta descrito por la función <lat>s(t)=5t^{2}-20t</lat> en qué tiempo la velocidad es igual a cero,0 m/s,2 m/s,10 m/s,20 m/s,2,,,2
355,Se tienen cinco bolsas de sal de 1.5 onzas cada una. Si se quieren repartir entre 15 personas. ¿Cuántos gramos le toca a cada persona? Datos: una onza equivale a 28.34 gr,14.15 grs,23.84 grs,10 grs,14.17 grs,4,,,2
356,¿Qué significa que <lat>\lim_{x\rightarrow 2}\frac{7(x^{2}-2-5)}{6-2x}=\frac{9}{2}</lat>?,El límite es 2 cuando <lat>x\rightarrow \frac{9}{2}</lat>,El límite es <lat>\frac{9}{2}</lat> cuando <lat>x\rightarrow 2</lat>,El límite de la función vale siempre 2,El límite de la función vale siempre <lat>\frac{9}{2}</lat>,2,,,2
357,La ecuación general de la circunferencia <lat>(x-2)+(y-1)^{2}=9</lat> es:,<lat>x^{2}+y^{2}-4x-2y-4=0</lat>,<lat>x^{2}+y^{2}-4x-2y+4=0</lat>,<lat>x^{2}+y^{2}+4x-2y-4=0</lat>,<lat>x^{2}+y^{2}+4x+2y+4=0</lat>,1,,,2
358,Al desarrollar el binomio <lat>(x^{m}-y^{n})^{2}</lat> queda:,<lat>x^{2m}-2xy+y^{2n}</lat>,<lat>x^{2m}-2x^{m}y^{n}-y^{2n}</lat>,<lat>x^{2m}-2x^{m}y^{n}+y^{2n}</lat>,<lat>x^{2m}+2x^{m}y^{n}+y^{2n}</lat>,3,,,2
359,Lugar geométrico donde todos los puntos equidistan a un punto fijo llamado centro es:,Parábola,Circunferencia,Elipse,Hipérbola,2,,,2
360,Lugar geométrico donde su vértice equidistan a un punto dijo y a una directriz es:,Parábola,Circunferencia,Elipse,Hipérbola,1,,,2
361,Lugar geométrico donde la adición de las distancias de un punto a otros dos puntos dijos es constante:,Parábola,Circunferencia,Elipse,Hipérbola,3,,,2
362,Lugar geométrico donde el valor absoluto de la sustracción de distancias de un punto a otros dos puntos dijos es constante:,Parábola,Circunferencia,Elipse,Hipérbola,4,,,2
363,¿Qué número satisface la siguiente desigualdad <lat>\frac{1}{x}+2< \frac{2}{x}+1</lat>?,1,<lat>\frac{1}{2}</lat>,-1,-2,2,,,2
364,"Indica cuál es la distancia entre los puntos A(-1,-1) y B(-2,-2) es:",<lat>\sqrt{18}</lat>,<lat>\sqrt{6}</lat>,<lat>\sqrt{2}</lat>,<lat>\sqrt{9}</lat>,1,,,2
365,¿Qué valores deben tener m y n para que la ecuación <lat>ax^{m}+bxy+cy^{n}</lat> sea cuadrática?,m= 1 y n= 2,"m=2 y n=1
","m=1 y n=1
","m=2 y n=2
",4,,,2
366,La <lat>\int x^{2}e^{x}dx</lat> es:,<lat>x^{2}e^{x}+C</lat>,<lat>e^{x}(x^{2}-2x+2)+C</lat>,<lat>e^{x}(x^{2}-2x-2)+C</lat>,<lat>e^{x}(x^{2}2x+2)+C</lat>,2,,,2
367,"La pendiente que pasa por los puntos (-4,6) y (6,-8) es:",<lat>-\frac{5}{7}</lat>,<lat>\frac{7}{5}</lat>,<lat>-\frac{7}{5}</lat>,<lat>\frac{5}{7}</lat>,3,,,2
368,Indica cuál es la ecuación de la hipérbola que tiene centro en el origen,<lat>x^{2}-2y^{2}-10=0</lat>,<lat>2x^{2}-3y^{2}-4x+2=0</lat>,<lat>5x^{2}-6y^{2}-6y-1=0</lat>,<lat>-3x^{2}+2y^{2}+5x-y+3=0</lat>,1,,,2
369,El resultado de la integral <lat>\int 2xe^{x^{2}}</lat> es:,6x+2+C,<lat>x^{2}</lat>,<lat>6x^{3}+2x^{2}+C</lat>,<lat>\frac{x^{3}}{3}+\frac{x^{2}}{2}+C</lat>,2,,,2
370,Si para los valores <lat>x_{1}< x_{2}< x_{3}</lat> se cumple que <lat>f(x_{1})> f(x_{2})> f(x_{3})</lat> entonces la función es del tipo:,Decreciente,Creciente,Constante,Inversa,1,,,2
371,"El <lat>\lim_{x\rightarrow 2}\frac{7(x^{2}-2x+5)}{3} 
</lat> es:",<lat>\frac{35}{3}</lat>,<lat>\frac{91}{3}</lat>,3,9,2,,,2
372,¿Cuál es el límite de la función <lat>\lim_{x\rightarrow 2}\frac{3x}{2x}(x+1)</lat>?,<lat>-\frac{9}{2}</lat>,<lat>\frac{2}{9}</lat>,<lat>\frac{9}{2}</lat>,-<lat>\frac{2}{9}</lat>,3,,,2
373,"¿Cuáles son las coordenadas del punto medio de los puntos (5,4) y (-2,6)?","<lat>\left ( \frac{7}{2},-1 \right )</lat>","<lat>\left ( 5, \frac{3}{2}\right )</lat>","<lat>\left ( \frac{3}{2}, 5 \right )</lat>","<lat>\left ( 1, -\frac{7}{2}\right )</lat>",3,,,2
374,La derivada de la función <lat>2xe^{x}</lat>,<lat>2xe^{x}</lat>,<lat>2e^{x}</lat>,<lat>2e^{x}(x+1)</lat>,<lat>2e^{x}(x-1)</lat>,3,,,2
375,"¿Qué ecuación repesenta la circunferencia con centro en el origen y pasa por el punto (3,2)?",<lat>x^{2}+y^{2}-13=0</lat>,<lat>x^{2}+y^{2}+13=0</lat>,<lat>x^{2}+y^{2}-\sqrt{13}=0</lat>,<lat>x^{2}+y^{2}+\sqrt{13}=0</lat>,1,,,2